DTM_NAME,n_craters,median_d_km,cov_sqkm,crater_per_km2
OPNHEIMRE2,29,0.9603377871092846,221.76,0.1307720057720058
CRISMMELT02,63,0.681079549424864,481.82,0.13075422356896765
HPONDS13,103,0.8832907243076683,787.75,0.13075214217708664
INGHIRAMI03,15,1.018312638177073,115.43,0.1299488867712033
BARRINGERZ1,24,0.6774096194372127,185.1,0.12965964343598055
RUMKERDOME9,73,0.6993751030035926,563.17,0.12962338192730438
SPARIM2,21,1.44646528466983,162.58,0.12916717923483823
GRUITHUI_2M,153,0.7579052436119199,1186.03,0.1290017959073548
LASELMASIF5,44,0.6577689909882435,341.79,0.12873401796424705
MAUROLYCS,30,0.6957986460694843,233.1,0.1287001287001287
ENDYMION,15,0.6485284775963929,117.34,0.12783364581557866
NUBIUMIMP01,31,0.9986451690932736,243.11,0.12751429394101435
HLNDPHOTOM2,91,0.9053142635580091,713.65,0.12751348700343307
PETAVIUSB,52,0.7077914298158825,408.18,0.12739477681415062
APOLLO17_1,16,0.5794116378335147,125.76,0.1272264631043257
SHARPRIDGE,81,0.6883099857043469,638.79,0.12680223547644767
PITVENT,124,0.8146067280852102,983.83,0.1260380350263765
RUMKERDOM11,75,0.6808024068957061,595.74,0.1258938463087924
HANSTEENAL1,16,0.7436217136017639,127.1,0.12588512981904013
ANDERSON01,10,0.7270888965471278,79.46,0.12584948401711554
CRISMMELT,138,0.6637608234800249,1097.4,0.12575177692728265
ISISOSIRIS,112,0.6279187566309973,891.03,0.12569722680493361
CHAPLYGIN3,68,0.720461455127514,541.14,0.12566064234763646
NRTHCRISM01,81,0.6316106531252733,646.79,0.1252338471528626
NECTRIMI,102,1.220959634029454,819.12,0.12452387928508643
GRUITHUIS14,54,0.7355238071856127,434.76,0.12420645873585427
MONSESAM,155,0.609124441575323,1254.93,0.12351286525941685
FRSHCRATER21,41,1.070078108983962,333.0,0.12312312312312312
SWFECUNPIT1,55,0.6927243909001513,448.69,0.12257906349595489
THEOPHILUS,68,0.6715356111843307,554.98,0.12252693790767234
RUMKERDOME5,16,0.7127184740028918,130.91,0.12222137346268429
PITISCUS,16,0.7658003120399132,131.09,0.12205355099549928
CLEOMEDES01,68,0.6912555681053311,557.63,0.12194465864462099
ARISTARCH14,63,0.6959200813319161,517.79,0.1216709476814925
AESTUUM2,73,0.8013173544569632,600.67,0.12153095709790734
LAMONTIMP1,63,0.5971068995232213,520.34,0.12107468193873236
GRUITHUISE7,17,0.7394460385778092,140.89,0.12066150897863583
REINER1,88,0.5813726831070584,729.36,0.12065372381265767
VINGHIRAM01,25,0.9058463291345292,207.62,0.12041229168673538
TSINGER01,91,0.7592111859115329,758.25,0.12001318826244642
NECTRIMII,110,1.038648242583974,918.59,0.11974874535973612
MRECRISIUM2,17,0.6411776077204568,142.19,0.11955833743582531
NECTRIMI1,44,1.142915185375649,369.84,0.11897036556348692
JENNER,27,0.6981699869069066,227.12,0.11887988728425501
FRESH1,22,0.9790755241313103,185.22,0.11877766979807797
NECTRIMII3,35,1.158814877949789,295.52,0.11843530048727667
MRINGENII6,37,0.5876794316012568,312.74,0.11830913858156936
HORTENSIUS5,15,0.6352190612987141,127.1,0.11801730920535013
FECUNDITATIS,14,0.6562905331281388,118.95,0.11769651113913408
HPONDS19,86,0.6956909483086382,732.45,0.11741415796300088
ARISTARCHU5,15,0.6936884595123252,128.12,0.11707773961910709
MTMARILYN03,35,1.093024016687813,301.11,0.1162365912789346
BUFFON2,29,0.6706995042512691,250.49,0.11577308475388239
NEWCRATER10,111,0.8911375077269593,961.43,0.1154530231010058
ATLASVENT2,64,0.9011333345268457,554.58,0.11540264704821666
HSCARP2,22,0.7043964045723077,190.67,0.11538259820632507
RUMKERDOME2,15,0.6913134267543029,130.18,0.11522507297587954
MRINGENII,80,0.7073355156053667,695.1,0.11509135376204863
WOLFCTR01,26,1.1485333441668337,226.38,0.11485113525929852
FECNDITATS3,14,0.5406512305960891,121.91,0.11483881551964564
SEPTIMPACT,60,0.8368669251207761,523.74,0.11456065986940085
HSCARP1,22,0.6540163632556295,193.04,0.11396601740571903
MARENUBIUM,45,0.7600682241202257,396.48,0.11349878934624696
REINER5,84,0.5804759932883694,745.51,0.11267454494238843
FRSHCRATER5,15,0.7211992039649648,133.62,0.11225864391558149
FRSHCRATER14,31,0.8313461675548941,276.39,0.11216035312420855
GRUITHUIS17,130,0.698335642590439,1159.17,0.11214921021075423
PRINZVENT,97,0.6798040294035218,867.45,0.1118220070321056
GRUITHUIS18,127,0.7106032195443966,1138.97,0.1115042538433848
DALEMBERT,19,0.810524559084089,171.72,0.11064523643139995
REINERPHOT,65,0.5864775039233648,587.74,0.1105931194065403
GRUITHUISE5,15,0.7905121060847943,135.69,0.11054609772275038
REINER2,13,0.6003872823309359,118.1,0.1100762066045724
GRUITHUIS15,51,0.7150212846686685,464.67,0.10975531022015624
LUNA20,20,0.9938062793797725,182.8,0.10940919037199125
GARDNER01,48,0.6727975972782381,441.18,0.10879912960696314
CHANGE4,24,0.6716569130132201,222.36,0.10793308148947652
APOLLO17_9,61,0.6647010815478421,565.9,0.10779289627142605
HPONDS25,102,0.9802751451393643,947.23,0.10768240026181602
MONSESAM1,75,0.6412133634319668,700.17,0.10711684305240157
FRAUNHOFRE,19,0.9881488581126382,178.19,0.1066277568887143
NECTRIMII1,45,1.1378351067899737,422.72,0.10645344436033308
INACALDERA1,12,0.8817026946689093,113.11,0.10609141543630095
ATLASVENT1,107,0.8486244520164512,1009.23,0.10602142227242552
ATLASVENT,237,0.9042975219216464,2236.09,0.10598857827726074
RUMKERDOM12,127,0.7296352299299975,1201.81,0.10567394180444496
HAHNCRATER,123,0.7328588258046177,1164.11,0.10566011803008307
KARRER3,25,1.0611962043961372,237.92,0.1050773369199731
SULPICIUS1,13,0.7792430672470609,123.77,0.10503352993455603
REINER,315,0.5952807591495625,3000.16,0.10499440029865074
ARAGO2_1,64,0.601721595001381,610.12,0.10489739723333115
NEWCRATER13,11,1.2470166977300627,104.88,0.10488176964149505
SNASCONE01,65,0.6334308208563411,623.4,0.1042669233237087
SULPICIUS,31,0.7166200920498935,298.73,0.10377263749874469
BUFFON1,23,0.6706995042512691,221.86,0.10366898043811412
RIMSCHRODGR,103,0.7027164004320172,993.65,0.10365822975896946
CHAPLYGIN2,18,1.1041948606032064,174.19,0.10333543831448419
PSDONIUSY01,84,0.6301990897767336,816.48,0.102880658436214
PARACELSUSC,41,0.8951445028022509,398.86,0.10279295993581708
HIPPALUS01,22,0.5974510998547287,214.65,0.1024924295364547
HAHNCRATER1,78,0.727833343711835,762.45,0.10230179028132992
KARRER2,24,0.8173550044434007,235.22,0.10203214012413911
AESTUUM,88,0.8322960411857991,862.91,0.10198050781657415
MTMARILYN01,35,1.0086365844039258,343.33,0.10194273730812921
A15SIVB,55,0.5376636606530196,541.11,0.10164291918463898
KUGLERRIDGE,16,0.7640960439390776,157.47,0.10160665523591796
HAHNCRATER2,66,0.743689715233099,649.87,0.10155877329312016
ATLASVENT3,78,1.0677008777833672,768.06,0.10155456604952738
RUMKERDOME4,12,0.6769980623217811,118.8,0.10101010101010101
MOSCOVNSE2,123,0.7332200877829583,1222.52,0.10061185093086412
KARRER,50,0.8515027410127709,498.7,0.10026067776218167
APOLLO17_5,12,0.5859421095939181,119.89,0.10009175077154057
A17SIVB,14,0.5891267911162796,140.94,0.09933304952462041
GRUITHUIS10,11,0.722476427540144,110.96,0.0991348233597693
OBLIVIONIS1,45,0.7202917316931821,454.12,0.09909275081476261
VINGHIRAM03,22,0.923256394207004,223.25,0.09854423292273236
CRISHORSE03,41,0.636170348380227,416.57,0.09842283409751063
BUFFON,62,0.6604225871281156,631.14,0.09823493994993188
LUNA20_1,12,0.7349825136462875,122.45,0.09799918334013882
CHAPLYGIN1,38,0.8398784781222021,388.28,0.09786751828577316
MTMARILYN02,48,0.6579140989755956,491.71,0.0976185149783409
MRINGENII2,16,1.0425514022809204,164.42,0.09731176255929937
GASSENDI01,32,0.7878552871706375,330.16,0.0969227041434456
MOSCOVNSE1,21,0.6447477580669452,218.5,0.09610983981693363
NEWCRATER3,60,0.6610693634749032,624.7,0.09604610212902193
LASELMASIF6,47,0.5795213905572815,491.87,0.09555370321426393
CHAPLYGIN,46,0.8499954944526373,483.69,0.0951022349025202
VINGHIRAM02,28,0.7633917200894926,294.79,0.09498286916109773
VITELLO,33,0.6286459044119989,349.53,0.09441249678139216
